language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date
Kumyk,Standard Kumyk,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,abdullaevaetal2014,33--56,George Moroz,2021.10.04
Lak,Khosrekh,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06
Lezgian,Standard Lezgian,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,gaydarivetal2009,56,George Moroz,2021.10.04
Lezgian,Khlyut,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,341,George Moroz,2017.05.06
Nogai,Nogai,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,baskakov1940,27,George Moroz,2021.10.04
Rutul,Luchek,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʡ",alekseev1994,215,George Moroz,2021.10.04
Rutul,Luchek,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,ʢ,kibrikkodzasov1990,342--343,Viola Ivanova,2017.05.06
Tabasaran,Standard Tabasaran,language,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,alekseevshixalieva2003,29,George Moroz,2021.10.04
Tabasaran,Dyubek,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,none,kibrikkodzasov1990,336,George Moroz,2017.05.06
Tat,Northern Azerbaijani Tat,dialect_toplevel,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʡ",griunberg1963,17,George Moroz,2021.10.04
Tindi,Tindi,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,326--327,Viola Ivanova,2017.05.06
Tindi,Tindi,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",magomedova2012,,George Moroz,2021.10.04
Tsakhur,Mishlesh,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,kibrik1999,16,George Moroz,2021.10.04
Tsakhur,Mikik,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,none,kibrikkodzasov1990,343,George Moroz,2017.05.06
Tsez,Kidero,village,no,yes,Pharyngeal inventories,Pharyngeal inventories,"ʜ, ʢ",kibrikkodzasov1990,328,Viola Ivanova,2017.05.06
Tsez,Sagada,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,ħ,wilson2021,388,George Moroz,2021.10.04
Tsova-Tush,Zemo-Alvani,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,"ħ, ʕ",holiskygagua1994,150,George Moroz,2021.10.04
Udi,Nidzh,village,yes,yes,Pharyngeal inventories,Pharyngeal inventories,none,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06
