language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date,value2_name,value2,contributer
Avar,Standard Avar,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,alekseevataev1997,35,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Azerbaijani,Standard Azerbaijani,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,one-way,shiralievsevortyan1971,16--26,George Moroz,2021.10.04,Contents of the contrast,C,
Bagvalal,Kvanada,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrik2001,35--46,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Bezhta,Bezhta,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,comrieetal2015,86,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Bezhta,Tlyadal,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,330,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʼ,
Botlikh,Botlikh,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,alexeyevverheesdraft2020,,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Budukh,Budug,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,345,George Moroz,2017.05.06,Contents of the contrast,C-Cʼ,
Budukh,Budug,village,no,no,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,talibov2007,35,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Chamalal,Chamalal,language,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,bokarev1949a,12,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ-Cʼː,
Chamalal,Gigatl',village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,324,George Moroz,2017.05.06,Contents of the contrast,C-Cʼ,
Chechen,Standard Chechen,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,nichols1994,4,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Dargwa,Chirag,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,334,George Moroz,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Dargwa,Kaitag,dialect_toplevel,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,temirbulatova2004,39,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Dargwa,Mehweb,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,moroz2017,22--34,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Dargwa,Tanty,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,sumbatovalander2014,40--41,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Georgian,Standard Georgian,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,hewitt1995,19,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Godoberi,Godoberi,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,morozdraft2021,2,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Hinuq,Genukh,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,forker2013,29,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Hinuq,Genukh,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,329,George Moroz,2017.05.06,Contents of the contrast,C-Cʼ,
Hunzib,Gunzib,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,isakovxalilov2001,260,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Hunzib,Gunzib,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,332,George Moroz,2017.05.06,Contents of the contrast,C-Cʼ,
Ingush,Standard Ingush,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,nichols2011,20,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Inkhoqwari,Inkhokvari,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,327,George Moroz,2017.05.06,Contents of the contrast,C-Cʼ,
Karata,Karata,dialect_toplevel,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,magomedbekova1971,12--18,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Karata,Tukita,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,gadzhieva2007,8,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Khinalug,Khynalyg,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,kibrik1994b,370,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʰ-Cʼ,
Khinalug,Khynalyg,village,no,no,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,346--347,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʰ-Cʼ,
Khwarshi,Kwantlada,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,khalilova2009,13,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Kryz,Kryz,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,345,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʼ,
Kryz,Kryz,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,saadiev1994,409,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Kumyk,Standard Kumyk,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,one-way,abdullaevaetal2014,33--56,George Moroz,2021.10.04,Contents of the contrast,C,
Lak,Khosrekh,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Lezgian,Khlyut,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,341,George Moroz,2017.05.06,Contents of the contrast,C-Cʰ-Cʼ,
Lezgian,Standard Lezgian,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,gaydarivetal2009,56,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Nogai,Nogai,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,one-way,baskakov1940,27,George Moroz,2021.10.04,Contents of the contrast,C,
Rutul,Luchek,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,alekseev1994,215,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Rutul,Luchek,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,342--343,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʼ,
Tabasaran,Dyubek,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,336,George Moroz,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Tabasaran,Standard Tabasaran,language,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,alekseevshixalieva2003,29,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Tat,Northern Azerbaijani Tat,dialect_toplevel,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,one-way,griunberg1963,17,George Moroz,2021.10.04,Contents of the contrast,C,
Tindi,Tindi,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,326--327,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Tindi,Tindi,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,four-way,magomedova2012,14--38,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ-Cʼː,
Tsakhur,Mikik,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrikkodzasov1990,343,George Moroz,2017.05.06,Contents of the contrast,C-Cː-Cʼ,
Tsakhur,Mishlesh,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,three-way,kibrik1999,16,George Moroz,2021.10.04,Contents of the contrast,C-Cː-Cʼ,
Tsez,Kidero,village,no,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,328,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʼ,
Tsez,Sagada,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,wilson2021,388,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Tsova-Tush,Zemo-Alvani,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,holiskygagua1994,150,George Moroz,2021.10.04,Contents of the contrast,C-Cʼ,
Udi,Nidzh,village,yes,yes,Number of contrasts in voiceless obstruents,Type of the contrast,two-way,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06,Contents of the contrast,C-Cʰ,
Agul,Burshag,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06,,,
Agul,Huppuq',village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,maisakganenkov2016,,George Moroz,2021.10.04,,,
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,creisselsdraft2020,,George Moroz,2021.10.04,,,
Akhvakh,Tad-Magitl',village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06,,,
Andi,Andi,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,321,George Moroz,2017.05.06,,,
Andi,Zilo,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kayeetaldraft2020,,George Moroz,2021.10.04,,,
Archi,Archib,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrik1994a,300,George Moroz,2021.10.04,,,
Archi,Archib,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06,,,
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,dum-tragut2009,"17, 19, 18, 20",George Moroz,2021.10.04,,,
Avar,Chadakolob,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06,,,
Avar,Standard Avar,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,alekseevataev1997,35,George Moroz,2021.10.04,,,
Azerbaijani,Standard Azerbaijani,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,shiralievsevortyan1971,16--26,George Moroz,2021.10.04,,,
Bagvalal,Kvanada,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrik2001,35--46,George Moroz,2021.10.04,,,
Bezhta,Bezhta,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,comrieetal2015,86,George Moroz,2021.10.04,,,
Bezhta,Tlyadal,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,kibrikkodzasov1990,330,Viola Ivanova,2017.05.06,,,
Botlikh,Botlikh,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,alexeyevverheesdraft2020,,George Moroz,2021.10.04,,,
Budukh,Budug,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,kibrikkodzasov1990,345,George Moroz,2017.05.06,,,
Budukh,Budug,village,no,no,Presence of labialized consonants,Presence of labialized consonants,not attested,talibov2007,35,George Moroz,2021.10.04,,,
Chamalal,Chamalal,language,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,bokarev1949a,"12, 15",George Moroz,2021.10.04,,,
Chamalal,Gigatl',village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,324,George Moroz,2017.05.06,,,
Chechen,Standard Chechen,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,nichols1994,4,George Moroz,2021.10.04,,,
Dargwa,Chirag,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,334,George Moroz,2017.05.06,,,
Dargwa,Kaitag,dialect_toplevel,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,temirbulatova2004,39,George Moroz,2021.10.04,,,
Dargwa,Mehweb,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,moroz2017,22--34,George Moroz,2021.10.04,,,
Dargwa,Tanty,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,sumbatovalander2014,40--41,George Moroz,2021.10.04,,,
Georgian,Standard Georgian,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,hewitt1995,19,George Moroz,2021.10.04,,,
Godoberi,Godoberi,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,morozdraft2021,2,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,forker2013,29,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,329,George Moroz,2017.05.06,,,
Hunzib,Gunzib,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,isakovxalilov2001,260,George Moroz,2021.10.04,,,
Hunzib,Gunzib,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,332,George Moroz,2017.05.06,,,
Ingush,Standard Ingush,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,nichols2011,20,George Moroz,2021.10.04,,,
Inkhoqwari,Inkhokvari,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,kibrikkodzasov1990,327,George Moroz,2017.05.06,,,
Karata,Karata,dialect_toplevel,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,magomedbekova1971,12--18,George Moroz,2021.10.04,,,
Karata,Tukita,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,gadzhieva2007,8,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,kibrik1994b,370,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,no,no,Presence of labialized consonants,Presence of labialized consonants,not attested,kibrikkodzasov1990,346--347,Viola Ivanova,2017.05.06,,,
Khwarshi,Kwantlada,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,khalilova2009,13,George Moroz,2021.10.04,,,
Kryz,Kryz,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,saadiev1994,409,George Moroz,2021.10.04,,,
Kryz,Kryz,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,345,Viola Ivanova,2017.05.06,,,
Kumyk,Standard Kumyk,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,abdullaevaetal2014,33--56,George Moroz,2021.10.04,,,
Lak,Khosrekh,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06,,,
Lezgian,Khlyut,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,341,George Moroz,2017.05.06,,,
Lezgian,Standard Lezgian,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,gaydarivetal2009,56,George Moroz,2021.10.04,,,
Nogai,Nogai,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,baskakov1940,27,George Moroz,2021.10.04,,,
Rutul,Luchek,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,alekseev1994,215,George Moroz,2021.10.04,,,
Rutul,Luchek,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,342--343,Viola Ivanova,2017.05.06,,,
Tabasaran,Dyubek,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,336,George Moroz,2017.05.06,,,
Tabasaran,Standard Tabasaran,language,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,alekseevshixalieva2003,29,George Moroz,2021.10.04,,,
Tat,Northern Azerbaijani Tat,dialect_toplevel,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,griunberg1963,17,George Moroz,2021.10.04,,,
Tindi,Tindi,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,326--327,Viola Ivanova,2017.05.06,,,
Tindi,Tindi,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,magomedova2012,14--38,George Moroz,2021.10.04,,,
Tsakhur,Mikik,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,343,George Moroz,2017.05.06,,,
Tsakhur,Mishlesh,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrik1999,16,George Moroz,2021.10.04,,,
Tsez,Kidero,village,no,yes,Presence of labialized consonants,Presence of labialized consonants,attested,kibrikkodzasov1990,328,Viola Ivanova,2017.05.06,,,
Tsez,Sagada,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,wilson2021,388,George Moroz,2021.10.04,,,
Tsova-Tush,Zemo-Alvani,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,holiskygagua1994,150,George Moroz,2021.10.04,,,
Udi,Nidzh,village,yes,yes,Presence of labialized consonants,Presence of labialized consonants,not attested,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06,,,
Agul,Burshag,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06,,,
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,creisselsdraft2020,,George Moroz,2021.10.04,,,
Akhvakh,Tad-Magitl',village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06,,,
Andi,Zilo,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kayeetaldraft2020,,George Moroz,2021.10.04,,,
Andi,Andi,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,321,George Moroz,2017.05.06,,,
Archi,Archib,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrik1994a,300,George Moroz,2021.10.04,,,
Archi,Archib,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06,,,
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,"v, w",dum-tragut2009,"18, 20",George Moroz,2021.10.04,,,
Avar,Standard Avar,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,alekseevataev1997,35,George Moroz,2021.10.04,,,
Avar,Chadakolob,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06,,,
Azerbaijani,Standard Azerbaijani,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,shiralievsevortyan1971,16--26,George Moroz,2021.10.04,,,
Bagvalal,Kvanada,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrik2001,35--46,George Moroz,2021.10.04,,,
Bezhta,Bezhta,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,comrieetal2015,86,George Moroz,2021.10.04,,,
Bezhta,Tlyadal,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,330,Viola Ivanova,2017.05.06,,,
Botlikh,Botlikh,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,alexeyevverheesdraft2020,,George Moroz,2021.10.04,,,
Budukh,Budug,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,"v, w",kibrikkodzasov1990,345,George Moroz,2017.05.06,,,
Budukh,Budug,village,no,no,Inventory of v-like consonants,Inventory of v-like consonants,w,talibov2007,35,George Moroz,2021.10.04,,,
Chamalal,Chamalal,language,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,bokarev1949a,12,George Moroz,2021.10.04,,,
Chamalal,Gigatl',village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,324,George Moroz,2017.05.06,,,
Chechen,Standard Chechen,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,nichols1994,4,George Moroz,2021.10.04,,,
Dargwa,Chirag,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,334,George Moroz,2017.05.06,,,
Dargwa,Mehweb,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,moroz2017,22--34,George Moroz,2021.10.04,,,
Dargwa,Tanty,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,sumbatovalander2014,40--41,George Moroz,2021.10.04,,,
Dargwa,Kaitag,dialect_toplevel,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,"w, β",temirbulatova2004,39,George Moroz,2021.10.04,,,
Georgian,Standard Georgian,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,hewitt1995,19,George Moroz,2021.10.04,,,
Godoberi,Godoberi,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,morozdraft2021,2,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,forker2013,29,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,329,George Moroz,2017.05.06,,,
Hunzib,Gunzib,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,isakovxalilov2001,260,George Moroz,2021.10.04,,,
Hunzib,Gunzib,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,"w, β",kibrikkodzasov1990,332,George Moroz,2017.05.06,,,
Ingush,Standard Ingush,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,nichols2011,20,George Moroz,2021.10.04,,,
Inkhoqwari,Inkhokvari,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,327,George Moroz,2017.05.06,,,
Karata,Karata,dialect_toplevel,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,magomedbekova1971,12--18,George Moroz,2021.10.04,,,
Karata,Tukita,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,gadzhieva2007,8,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,"v, w",kibrik1994b,370,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,no,no,Inventory of v-like consonants,Inventory of v-like consonants,v,kibrikkodzasov1990,346--347,Viola Ivanova,2017.05.06,,,
Khwarshi,Kwantlada,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,khalilova2009,13,George Moroz,2021.10.04,,,
Kryz,Kryz,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,kibrikkodzasov1990,345,Viola Ivanova,2017.05.06,,,
Kryz,Kryz,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,saadiev1994,409,George Moroz,2021.10.04,,,
Kumyk,Standard Kumyk,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,abdullaevaetal2014,33--56,George Moroz,2021.10.04,,,
Lak,Khosrekh,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06,,,
Lezgian,Standard Lezgian,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,gaydarivetal2009,56,George Moroz,2021.10.04,,,
Lezgian,Khlyut,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,β,kibrikkodzasov1990,341,George Moroz,2017.05.06,,,
Nogai,Nogai,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,"v, w",baskakov1940,27,George Moroz,2021.10.04,,,
Rutul,Luchek,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,alekseev1994,215,George Moroz,2021.10.04,,,
Rutul,Luchek,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,342--343,Viola Ivanova,2017.05.06,,,
Tabasaran,Standard Tabasaran,language,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,alekseevshixalieva2003,29,George Moroz,2021.10.04,,,
Tabasaran,Dyubek,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,β,kibrikkodzasov1990,336,George Moroz,2017.05.06,,,
Tat,Northern Azerbaijani Tat,dialect_toplevel,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,griunberg1963,17,George Moroz,2021.10.04,,,
Tindi,Tindi,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,326--327,Viola Ivanova,2017.05.06,,,
Tindi,Tindi,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,magomedova2012,14--38,George Moroz,2021.10.04,,,
Tsakhur,Mishlesh,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrik1999,16,George Moroz,2021.10.04,,,
Tsakhur,Mikik,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,343,George Moroz,2017.05.06,,,
Tsez,Kidero,village,no,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,kibrikkodzasov1990,328,Viola Ivanova,2017.05.06,,,
Tsez,Sagada,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,w,wilson2021,388,George Moroz,2021.10.04,,,
Tsova-Tush,Zemo-Alvani,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,holiskygagua1994,150,George Moroz,2021.10.04,,,
Udi,Nidzh,village,yes,yes,Inventory of v-like consonants,Inventory of v-like consonants,v,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06,,,
Agul,Burshag,village,no,yes,Presence of laterals,Presence of laterals,not attested,kibrikkodzasov1990,340--341,Viola Ivanova,2017.05.06,,,
Agul,Huppuq',village,yes,yes,Presence of laterals,Presence of laterals,not attested,maisakganenkov2016,,George Moroz,2021.10.04,,,
Akhvakh,Northern Akhvakh,dialect_toplevel,yes,yes,Presence of laterals,Presence of laterals,attested,creisselsdraft2020,,George Moroz,2021.10.04,,,
Akhvakh,Tad-Magitl',village,no,yes,Presence of laterals,Presence of laterals,attested,kibrikkodzasov1990,322--323,Viola Ivanova,2017.05.06,,,
Andi,Andi,village,no,yes,Presence of laterals,Presence of laterals,attested,kibrikkodzasov1990,321,George Moroz,2017.05.06,,,
Andi,Zilo,village,yes,yes,Presence of laterals,Presence of laterals,attested,kayeetaldraft2020,,George Moroz,2021.10.04,,,
Archi,Archib,village,yes,yes,Presence of laterals,Presence of laterals,attested,kibrik1994a,300,George Moroz,2021.10.04,,,
Archi,Archib,village,no,yes,Presence of laterals,Presence of laterals,attested,kibrikkodzasov1990,335--336,Viola Ivanova,2017.05.06,,,
Armenian,Eastern Armenian,dialect_toplevel,yes,yes,Presence of laterals,Presence of laterals,not attested,dum-tragut2009,"17, 19, 18, 20",George Moroz,2021.10.04,,,
Avar,Chadakolob,village,no,yes,Presence of laterals,Presence of laterals,attested,kibrikkodzasov1990,320,Viola Ivanova,2017.05.06,,,
Avar,Standard Avar,language,yes,yes,Presence of laterals,Presence of laterals,attested,alekseevataev1997,35,George Moroz,2021.10.04,,,
