language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date,value2_name,value2,contributer
Bezhta,Tlyadal,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,330,Viola Ivanova,2017.05.06,,,
Botlikh,Botlikh,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,alexeyevverheesdraft2020,,George Moroz,2021.10.04,,,
Budukh,Budug,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,345,George Moroz,2017.05.06,,,
Budukh,Budug,village,no,no,Presence of ejective fricatives,Presence of ejective fricatives,not attested,talibov2007,35,George Moroz,2021.10.04,,,
Chamalal,Chamalal,language,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,bokarev1949a,"12, 15",George Moroz,2021.10.04,,,
Chamalal,Gigatl',village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,attested,kibrikkodzasov1990,324,George Moroz,2017.05.06,,,
Chechen,Standard Chechen,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,nichols1994,4,George Moroz,2021.10.04,,,
Dargwa,Chirag,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,334,George Moroz,2017.05.06,,,
Dargwa,Kaitag,dialect_toplevel,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,temirbulatova2004,39,George Moroz,2021.10.04,,,
Dargwa,Mehweb,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,moroz2017,22--34,George Moroz,2021.10.04,,,
Dargwa,Tanty,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,sumbatovalander2014,40--41,George Moroz,2021.10.04,,,
Georgian,Standard Georgian,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,hewitt1995,19,George Moroz,2021.10.04,,,
Godoberi,Godoberi,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,morozdraft2021,2,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,forker2013,29,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,329,George Moroz,2017.05.06,,,
Hunzib,Gunzib,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,isakovxalilov2001,260,George Moroz,2021.10.04,,,
Hunzib,Gunzib,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,332,George Moroz,2017.05.06,,,
Ingush,Standard Ingush,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,nichols2011,20,George Moroz,2021.10.04,,,
Inkhoqwari,Inkhokvari,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,327,George Moroz,2017.05.06,,,
Karata,Karata,dialect_toplevel,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,magomedbekova1971,12--18,George Moroz,2021.10.04,,,
Karata,Tukita,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,gadzhieva2007,8,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrik1994b,370,George Moroz,2021.10.04,,,
Khinalug,Khynalyg,village,no,no,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,346--347,Viola Ivanova,2017.05.06,,,
Khwarshi,Kwantlada,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,khalilova2009,13,George Moroz,2021.10.04,,,
Kryz,Kryz,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,saadiev1994,409,George Moroz,2021.10.04,,,
