glottocode,lang,language,idiom,type,segment,segment_source,segment_type,source,page,comment,contributer,date
aghu1253,Aghul,Aghul,Burshag,village,q',q',consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,q'ːʷ,q̄'˳,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,q'ʷ,q'˳,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,qː,q̄,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,qʰʷ,q˳,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,r,r,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ʁ,ʀ,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ʁʷ,ʀ˳,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,s,s,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ʃ,š,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tʰ,t,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,t',t',consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tː,t̄,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tsʰ,c,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ts',c',consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tsː,c̄,consonant,kibrikkodzasov1990,340–341,у автора дан в скобках,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tʃʰ,č,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tʃ',č',consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,tʃː,c̄̌,consonant,kibrikkodzasov1990,340–341,у автора дан в скобках,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,w,w,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,x,x,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,z,z,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ʒ,ž,consonant,kibrikkodzasov1990,340–341,у автора дан в скобках,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ʔ,ʔ,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,ʢ,ʕ,consonant,kibrikkodzasov1990,340–341,"у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены",Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,χ,χ,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,χːʷ,X̄˳,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
aghu1253,Aghul,Aghul,Burshag,village,χʷ,χ˳,consonant,kibrikkodzasov1990,340–341,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,a,a,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,aː,a:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,aⁿ,ã,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,aːⁿ,ã:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,e,e,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,eː,e:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,eⁿ,ẽ,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,eːⁿ,ẽ:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,i,i,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,iː,i:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,iⁿ,ĩ,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,iːⁿ,ĩ:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,o,o,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,oː,o:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,oⁿ,õ,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,oːⁿ,õ:,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,u,u,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,uː,u:,vowel,kibrikkodzasov1990,322–323,"засвидетельствованы в работе [Магомедбеков 1967], но в материале [Кибрик, Кодзасов 1990] их нет",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,uⁿ,ũ,vowel,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,uːⁿ,ũ:,vowel,kibrikkodzasov1990,322–323,"засвидетельствованы в работе [Магомедбеков 1967], но в материале [Кибрик, Кодзасов 1990] их нет",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,b,b,consonant,kibrikkodzasov1990,322–323,в начале слова может оглушаться; в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,d,d,consonant,kibrikkodzasov1990,322–323,в начале слова может оглушаться; в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,dʷ,d˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,dʒ,ǯ,consonant,kibrikkodzasov1990,322–323,"у автора дан в скобках: встречается в заимствованиях, свободно варьируется с [ʒ], однако исконное [ʒ] с [dʒ] не варьируется",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,dʒʷ,ǯ˳,consonant,kibrikkodzasov1990,322–323,неогубленный вариант у автора дан в скобках,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ɡ,g,consonant,kibrikkodzasov1990,322–323,в начале слова может оглушаться; в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ɡʷ,g˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,h,h,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,hʷ,h˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʜ,ʜ,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,j,j,consonant,kibrikkodzasov1990,322–323,в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,k',k',consonant,kibrikkodzasov1990,322–323,у абруптивных слабых — укороченная спирантная часть,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,k'ː,k̄',consonant,kibrikkodzasov1990,322–323,реализуется как аффриката,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,k'ːʷ,k̄'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,k'ʷ,k'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,kː,k̄,consonant,kibrikkodzasov1990,322–323,встречается только в аваризмах; реализуется как аффриката,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,kːʷ,k̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,kʰ,k,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,kʰʷ,k˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,l,l,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ɬ,ɫ,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ɬː,ɫ̄,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ɬːʷ,ɫ̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ɬʷ,ɫ˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,m,m,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,n,n,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,p',p',consonant,kibrikkodzasov1990,322–323,[p'] встречается в единичных словах,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,pʰ,p,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,q',q',consonant,kibrikkodzasov1990,322–323,"у абруптивных слабых — укороченная спирантная часть, Авторы считают, что «различие взрывных и аффрикат не несет дистинктивной
функции». Т. е. на основании источника не понятно с чем мы имеем дело, 
например, с q или с qχ. В случае сомнения мы выбирали взрывной вариант",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,q'ː,q̄',consonant,kibrikkodzasov1990,322–323,"абруптивные сильные имеют удлиненную и глоттализованную спирантную часть. Авторы считают, что «различие взрывных и аффрикат не несет дистинктивной
функции». Т. е. на основании источника не понятно с чем мы имеем дело, 
например, с q или с qχ. В случае сомнения мы выбирали взрывной вариант.",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,q'ːʷ,q̄'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,q'ʷ,q'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,qː,q̄,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,qːʷ,q̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,qʰ,q,consonant,kibrikkodzasov1990,322–323,"Авторы считают, что «различие взрывных и аффрикат не несет дистинктивной
функции». Т. е. на основании источника не понятно с чем мы имеем дело, 
например, с q или с qχ. В случае сомнения мы выбирали взрывной вариант.",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,qʰʷ,q˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,r,r,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʁ,ʀ,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʁʷ,ʀ˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,s,s,consonant,kibrikkodzasov1990,322–323,редкая фонема для этого языка; слабые спиранты произносятся очень воздушно и сопровождаются придыханием,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,sː,s̄,consonant,kibrikkodzasov1990,322–323,"сильные спиранты произносятся узко, напряженно и без придыхания",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,sːʷ,s̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,sʷ,s˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʃ,š,consonant,kibrikkodzasov1990,322–323,редкая фонема для этого языка; слабые спиранты произносятся очень воздушно и сопровождаются придыханием; [ʃ] близко к [h],Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʃː,s̄̌,consonant,kibrikkodzasov1990,322–323,"сильные спиранты произносятся узко, напряженно и без придыхания",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʃːʷ,s̄̌˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ʃʷ,š˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,t',t',consonant,kibrikkodzasov1990,322–323,у абруптивных слабых — укороченная спирантная часть,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,t'ʷ,t'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʰ,t,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʰʷ,t˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬ,ʟ,consonant,kibrikkodzasov1990,322–323,спирантная часть слабых аффрикат произносится очень воздушно и сопровождается придыханием,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬ',ʟ',consonant,kibrikkodzasov1990,322–323,у абруптивных слабых — укороченная спирантная часть,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬ'ː,ʟ̄',consonant,kibrikkodzasov1990,322–323,абруптивные сильные имеют удлиненную и глоттализованную спирантную часть,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬ'ːʷ,ʟ̄'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
